Nr;Huvuduppslag;Avdelning;Placering;Cirk. kat.;Hylla;Status;Lok.-datum;Förf. datum;Etikettnr.;Lån;
17;Armstrong, Karen, Världsreligionernas födelse 2007;  Vimmerby - Vuxen; ;;Cm;;2007-11-19;;80036200614;12
18;Arnberg, Barbro, Invid muren 2006;  Vimmerby - Vuxen; ;;Cl;;2006-05-24;;89017930737;10
19;Arvidsson, Bengt, Bed och arbeta i trädgården 2009;  Vimmerby - Vuxen; ;;Cj;;2010-03-16;;80041463626;2
20;Arvidsson, Stefan, Draksjukan 2007;  Vimmerby - Vuxen; ;;Cm;;2008-11-19;;21768940884;5
21;Aslan, Reza, Upprorsmakaren 2014;  Vimmerby - Vuxen; ;;Cc;;2014-05-07;;52456700019;7
22;Att vara muslim. Bok 1 1993;  Vimmerby - Vuxen; ;;Cmd;;1998-04-06;;20471720884;33
23;Baigent, Michael, Dödahavsrullarnas hemlighet 2006;  Vimmerby - Vuxen; ;;Cc;;2006-10-30;;21698480884;11
24;Baigent, Michael, Heligt blod, helig Gral 2006;  Vimmerby - Vuxen; ;;Ca;;2006-08-30;2015-03-20;21641620884;20
25;Baigent, Michael, Jesusskrifterna 2007;  Vimmerby - Vuxen; ;;Cc;;2010-02-12;;80039722683;4
26;Barn skriver till gud 1990;  Vimmerby - Vuxen; ;;C;;1998-04-06;;20300500884;31
27;Bear Heart, Vinden är min mor 1997;  Vimmerby - Vuxen; ;;Cm;;1998-04-06;;21208530884;66
28;Bengtsson, Arne, Frihetens eld 1990;  Vimmerby - Vuxen; ;;Cj;;1998-04-06;;20470610884;8
29;Bengtsson, Bertil, De kallar sig Jehovas vittnen - men är de kristna? 1994;  Vimmerby - Vuxen; ;;Cks;;1998-04-06;;89001553347;48
30;Bengtsson, Pelle, Mot enkelhetens punkt 1999;  Vimmerby - Vuxen; ;;Ce;;1999-11-19;;21272530884;11
31;Benson, Ophelia, Hatar Gud kvinnor? 2010;  Vimmerby - Vuxen; ;;Cm;;2010-11-17;;80041438875;2
32;Berge, Elin, Slöjor 2006;  Vimmerby - Vuxen; ;;Cmd;;2006-05-24;;89018002222;9
33;Berglund, Christina, Svenska kyrkan 2005;  Vimmerby - Vuxen; ;;Cg;;2006-04-19;;21636140884;6
34;Berglund, Sven-Oscar, Kyrkoårets helger 1996;  Vimmerby - Vuxen; ;;Ci;;1998-04-06;;20473930884;4
35;Bergstrand, Göran, En själasörjares dilemma 2002;  Vimmerby - Vuxen; ;;Cg;;2002-04-29;;20880020884;9
36;Berman, Paul, De intellektuellas flykt 2011;  Vimmerby - Vuxen; ;;Cmd;;2011-08-30;;80041466196;0
