Nr;Huvuduppslag;Avdelning;Placering;Cirk. kat.;Hylla;Status;Lok.-datum;Förf. datum;Etikettnr.;Lån;
46;Björklund, Lars, Modet att ingenting göra 2003;  Vimmerby - Vuxen; ;;Cg;;2004-02-09;;21345040884;33
47;Bloch, Raymond, Spådom under antiken 1998;  Vimmerby - Vuxen; ;;Cmg;;1998-07-01;;89006844083;16
48;Blågul islam? 1999;  Vimmerby - Vuxen; ;;Cmd;;2000-04-19;;21025070884;23
49;Bodin, Per-Arne, Den oväntade glädjen 1991;  Vimmerby - Vuxen; ;;Cj;;1998-04-06;;20470620884;8
50;Bonhoeffer, Dietrich, Texter i urval 1994;  Vimmerby - Vuxen; ;;Ci;;1998-04-06;;20471100884;27
51;Borg, Annika, Bibeln på mitt sätt 2009;  Vimmerby - Vuxen; ;;Cc;;2009-11-19;;80039712381;8
52;Bornstein, Anna C., Dalai Lama och den buddhistiska vägen 1988;  Vimmerby - Vuxen; ;;Cme;;1998-04-06;;20471690884;56
53;Broomé, Catharina, Den katolska vägen 1985;  Vimmerby - Vuxen; ;;Ck;;1998-04-06;;20471880884;26
54;Brown, Ann, Se kvinnan 1994;  Vimmerby - Vuxen; ;;Cc;;1998-04-06;;20470450884;31
55;Buruma, Ian, Att tämja gudarna 2010;  Vimmerby - Vuxen; ;;Cm;;2010-06-09;;80041443988;6
56;Byström Janarv, Görel, Religiösa profiler 1997;  Vimmerby - Vuxen; ;;Cm;;2011-11-14;;89004784726;37
57;Bæksted, Anders, Gudar och hjältar i Norden 1970;  Vimmerby - Vuxen; ;;Cmi;;1998-04-06;;20471710884;48
58;Bärtås, Magnus, Innanför cirkeln 2005;  Vimmerby - Vuxen; ;;Cm;;2006-02-20;;89017665226;9
59;Bönbok för sörjande 1997;  Vimmerby - Vuxen; ;;Ci;;1998-04-06;;89005458191;2
60;Carls, Rainer, Om tro och vetande 2001;  Vimmerby - Vuxen; ;;Ce;;2002-05-28;;20883740884;11
61;Carlsson, Bo Göran, Religion, kultur och manlig homosexualitet 2000;  Vimmerby - Vuxen; ;;Cm;;2001-05-04;;21055360884;9
